environment,agent,mean_observations,success_rate,mean_reward,std_reward,n_episodes,n_seeds,se_success_seed_level,se_reward_seed_level,seed_list,episodes_per_seed,git_sha,generated_utc,p_reward_efe_vs_ids_seed_level
Tiger,Myopic,1.0,0.8464,-7.896,39.66213791514522,2500,5,0.006046486583132395,0.6651135241445627,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:13:50Z,
Tiger,Planning,4.2336,0.996,5.3264,7.167416761986148,2500,5,0.002280350850198278,0.26061036050011516,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:13:57Z,
Tiger,Planning+IG(w=20),4.2336,0.996,5.3264,7.167416761986148,2500,5,0.002280350850198278,0.26061036050011516,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:19:05Z,
Tiger,EFE,4.2336,0.996,5.3264,7.167416761986148,2500,5,0.002280350850198278,0.26061036050011516,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:24:29Z,1.0
Tiger,IDS,4.2336,0.996,5.3264,7.167416761986148,2500,5,0.002280350850198278,0.26061036050011516,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:24:41Z,1.0
Diagnosis,Myopic,2.0,0.6452,-13.288,28.70716036113639,2500,5,0.014609585894199736,0.8765751536519841,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:24:42Z,
Diagnosis,Planning,5.8472,0.8876,-2.5912,19.02337726482866,2500,5,0.005635601121442153,0.3748138738093883,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:24:51Z,
Diagnosis,Planning+IG(w=100),13.172,0.9916,-3.676,7.118583005064982,2500,5,0.0017204650534085267,0.13516212487231768,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:34:39Z,
Diagnosis,EFE,9.6784,0.9736,-1.2624,10.338585311347003,2500,5,0.0053814496188294885,0.3417428272839095,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:39:22Z,0.000937632582303845
Diagnosis,IDS,13.1728,0.9924,-3.6288,6.880451334033255,2500,5,0.001326649916142161,0.16134633556421416,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:40:03Z,0.000937632582303845
Bandit,Myopic,2.0464,0.6164,5.5244,4.375843306152541,2500,5,0.014688771221582844,0.12904053626670953,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:40:03Z,
Bandit,Planning,3.2424,0.6988,5.668,3.9950689606063126,2500,5,0.014093970341958282,0.12974706162376087,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:40:06Z,
Bandit,Planning+IG(w=100),12.3592,0.9984,3.806,3.092792265898245,2500,5,0.00040000000000000034,0.06823122452367385,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:44:37Z,
Bandit,EFE,5.1616,0.8692,6.242,3.412804711670447,2500,5,0.008309031231136403,0.09210157436222247,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:46:44Z,1.507020855882746e-06
Bandit,IDS,10.6232,0.9952,4.6452,2.9835745273078063,2500,5,0.001356465996625055,0.06711363497829631,42|123|456|789|1024,500,3cfd77b,2026-08-21T20:47:52Z,1.507020855882746e-06
