env,w,w_over_thresh,mean_usage,se_usage,w_thresh
TestbedPos-p06,0.0,0.0,0.0,0.0,3.4424112343349473
TestbedPos-p06,0.8606028085837368,0.25,0.0,0.0,3.4424112343349473
TestbedPos-p06,1.1355722139596116,0.32987697769322355,0.0,0.0,3.4424112343349473
TestbedPos-p06,1.498396519573597,0.43527528164806206,0.0,0.0,3.4424112343349473
TestbedPos-p06,1.9771460610519336,0.5743491774985175,0.0,0.0,3.4424112343349473
TestbedPos-p06,2.608859868311494,0.7578582832551991,0.0,0.0,3.4424112343349473
TestbedPos-p06,3.4424112343349473,1.0,0.0,0.0,3.4424112343349473
TestbedPos-p06,4.542288855838448,1.3195079107728949,1.0,0.0,3.4424112343349473
TestbedPos-p06,5.993586078294389,1.7411011265922485,1.0,0.0,3.4424112343349473
TestbedPos-p06,7.908584244207734,2.29739670999407,1.0,0.0,3.4424112343349473
TestbedPos-p06,10.435439473245976,3.0314331330207964,3.832,0.07391887445030529,3.4424112343349473
TestbedPos-p06,13.76964493733979,4.0,13.319999999999999,0.20928449536456367,3.4424112343349473
TestbedPos-p058,0.0,0.0,0.0,0.0,7.548754860065942
TestbedPos-p058,1.8871887150164854,0.25,0.0,0.0,7.548754860065942
TestbedPos-p058,2.4901604385855856,0.32987697769322355,0.0,0.0,7.548754860065942
TestbedPos-p058,3.2857863978073802,0.43527528164806206,0.0,0.0,7.548754860065942
TestbedPos-p058,4.335621145016811,0.5743491774985175,0.0,0.0,7.548754860065942
TestbedPos-p058,5.720886398963915,0.7578582832551991,0.0,0.0,7.548754860065942
TestbedPos-p058,7.548754860065942,1.0,0.0,0.0,7.548754860065942
TestbedPos-p058,9.960641754342346,1.3195079107728946,1.0,0.0,7.548754860065942
TestbedPos-p058,13.143145591229523,1.7411011265922485,1.0,0.0,7.548754860065942
TestbedPos-p058,17.342484580067243,2.29739670999407,8.516,0.20053927296168214,7.548754860065942
TestbedPos-p058,22.88354559585566,3.0314331330207964,20.208,0.4116114672843796,7.548754860065942
TestbedPos-p058,30.195019440263767,4.0,28.672000000000004,1.0679063629363765,7.548754860065942
